step_size,                  x,              v_num,            u_exact,               time,

0.001001,                   0,           0.0090512,          0.00895912,             11081.4,

0.001001,            0.001001,           0.0180022,            0.017819,             11081.4,

0.001001,            0.002002,            0.026854,           0.0265807,             11081.4,

0.001001,            0.003003,           0.0356076,           0.0352452,             11081.4,

0.001001,            0.004004,           0.0442639,           0.0438134,             11081.4,

0.001001,          0.00500501,            0.052824,           0.0522863,             11081.4,

0.001001,          0.00600601,           0.0612887,           0.0606648,             11081.4,

0.001001,          0.00700701,           0.0696592,           0.0689499,             11081.4,

0.001001,          0.00800801,           0.0779361,           0.0771425,             11081.4,

0.001001,          0.00900901,           0.0861206,           0.0852436,             11081.4,

0.001001,             0.01001,           0.0942136,            0.093254,             11081.4,

0.001001,            0.011011,            0.102216,            0.101175,             11081.4,

0.001001,            0.012012,            0.110128,            0.109006,             11081.4,

0.001001,            0.013013,            0.117952,             0.11675,             11081.4,

0.001001,            0.014014,            0.125688,            0.124407,             11081.4,

0.001001,            0.015015,            0.133336,            0.131977,             11081.4,

0.001001,            0.016016,            0.140899,            0.139462,             11081.4,

0.001001,            0.017017,            0.148376,            0.146863,             11081.4,

0.001001,            0.018018,            0.155768,             0.15418,             11081.4,

0.001001,            0.019019,            0.163077,            0.161414,             11081.4,

0.001001,             0.02002,            0.170303,            0.168566,             11081.4,

0.001001,            0.021021,            0.177447,            0.175637,             11081.4,

0.001001,            0.022022,             0.18451,            0.182627,             11081.4,

0.001001,            0.023023,            0.191492,            0.189538,             11081.4,

0.001001,            0.024024,            0.198395,             0.19637,             11081.4,

0.001001,            0.025025,            0.205218,            0.203124,             11081.4,

0.001001,            0.026026,            0.211964,            0.209801,             11081.4,

0.001001,            0.027027,            0.218633,            0.216401,             11081.4,

0.001001,            0.028028,            0.225225,            0.222926,             11081.4,

0.001001,            0.029029,            0.231742,            0.229376,             11081.4,

0.001001,             0.03003,            0.238183,            0.235751,             11081.4,

0.001001,            0.031031,            0.244551,            0.242053,             11081.4,

0.001001,            0.032032,            0.250845,            0.248282,             11081.4,

0.001001,            0.033033,            0.257066,            0.254439,             11081.4,

0.001001,            0.034034,            0.263215,            0.260525,             11081.4,

0.001001,            0.035035,            0.269293,            0.266541,             11081.4,

0.001001,            0.036036,              0.2753,            0.272486,             11081.4,

0.001001,            0.037037,            0.281237,            0.278362,             11081.4,

0.001001,            0.038038,            0.287105,             0.28417,             11081.4,

0.001001,            0.039039,            0.292905,             0.28991,             11081.4,

0.001001,             0.04004,            0.298637,            0.295583,             11081.4,

0.001001,            0.041041,            0.304302,            0.301189,             11081.4,

0.001001,            0.042042,              0.3099,             0.30673,             11081.4,

0.001001,            0.043043,            0.315432,            0.312205,             11081.4,

0.001001,            0.044044,            0.320899,            0.317616,             11081.4,

0.001001,            0.045045,            0.326302,            0.322963,             11081.4,

0.001001,            0.046046,            0.331641,            0.328247,             11081.4,

0.001001,            0.047047,            0.336917,            0.333468,             11081.4,

0.001001,            0.048048,             0.34213,            0.338627,             11081.4,

0.001001,            0.049049,            0.347281,            0.343725,             11081.4,

0.001001,           0.0500501,            0.352371,            0.348762,             11081.4,

0.001001,           0.0510511,              0.3574,            0.353739,             11081.4,

0.001001,           0.0520521,            0.362369,            0.358657,             11081.4,

0.001001,           0.0530531,            0.367278,            0.363515,             11081.4,

0.001001,           0.0540541,            0.372128,            0.368315,             11081.4,

0.001001,           0.0550551,            0.376921,            0.373058,             11081.4,

