step_size,                  x,              v_num,            u_exact,

0.010101,                   0,                   0,                   0,

0.010101,            0.010101,           0.0857996,           0.0859755,

0.010101,            0.020202,            0.162376,             0.16272,

0.010101,            0.030303,            0.230616,            0.231122,

0.010101,            0.040404,            0.291321,            0.291981,

0.010101,           0.0505051,            0.345213,            0.346022,

0.010101,           0.0606061,            0.392949,            0.393901,

0.010101,           0.0707071,            0.435118,             0.43621,

0.010101,           0.0808081,            0.472257,            0.473483,

0.010101,           0.0909091,            0.504848,            0.506205,

0.010101,             0.10101,            0.533328,            0.534812,

0.010101,            0.111111,            0.558093,            0.559701,

0.010101,            0.121212,            0.579499,            0.581228,

0.010101,            0.131313,            0.597869,            0.599716,

0.010101,            0.141414,            0.613494,            0.615458,

0.010101,            0.151515,            0.626639,            0.628717,

0.010101,            0.161616,            0.637541,            0.639731,

0.010101,            0.171717,            0.646416,            0.648717,

0.010101,            0.181818,            0.653459,            0.655869,

0.010101,            0.191919,            0.658846,            0.661364,

0.010101,             0.20202,            0.662736,             0.66536,

0.010101,            0.212121,            0.665273,            0.668002,

0.010101,            0.222222,            0.666586,             0.66942,

0.010101,            0.232323,            0.666794,            0.669731,

0.010101,            0.242424,            0.666003,            0.669042,

0.010101,            0.252525,            0.664308,            0.667448,

0.010101,            0.262626,            0.661796,            0.665037,

0.010101,            0.272727,            0.658546,            0.661888,

0.010101,            0.282828,            0.654629,             0.65807,

0.010101,            0.292929,            0.650109,            0.653649,

0.010101,             0.30303,            0.645043,            0.648682,

0.010101,            0.313131,            0.639485,            0.643222,

0.010101,            0.323232,            0.633481,            0.637317,

0.010101,            0.333333,            0.627075,            0.631008,

0.010101,            0.343434,            0.620304,            0.624335,

0.010101,            0.353535,            0.613205,            0.617332,

0.010101,            0.363636,            0.605808,            0.610032,

0.010101,            0.373737,            0.598143,            0.602463,

0.010101,            0.383838,            0.590234,            0.594651,

0.010101,            0.393939,            0.582106,            0.586618,

0.010101,             0.40404,            0.573779,            0.578388,

0.010101,            0.414141,            0.565273,            0.569977,

0.010101,            0.424242,            0.556604,            0.561404,

0.010101,            0.434343,            0.547789,            0.552684,

0.010101,            0.444444,            0.538841,            0.543832,

0.010101,            0.454545,            0.529773,             0.53486,

0.010101,            0.464646,            0.520598,            0.525779,

0.010101,            0.474747,            0.511324,            0.516601,

0.010101,            0.484848,            0.501961,            0.507333,

0.010101,            0.494949,            0.492519,            0.497986,

0.010101,            0.505051,            0.483005,            0.488566,

0.010101,            0.515152,            0.473425,            0.479081,

0.010101,            0.525253,            0.463786,            0.469537,

0.010101,            0.535354,            0.454093,            0.459939,

0.010101,            0.545455,            0.444353,            0.450293,

0.010101,            0.555556,            0.434568,            0.440604,

0.010101,            0.565657,            0.424744,            0.430875,

0.010101,            0.575758,            0.414885,             0.42111,

0.010101,            0.585859,            0.404993,            0.411313,

0.010101,             0.59596,            0.395072,            0.401487,

0.010101,            0.606061,            0.385125,            0.391634,

0.010101,            0.616162,            0.375154,            0.381758,

0.010101,            0.626263,            0.365162,             0.37186,

0.010101,            0.636364,             0.35515,            0.361942,

0.010101,            0.646465,             0.34512,            0.352007,

0.010101,            0.656566,            0.335075,            0.342056,

0.010101,            0.666667,            0.325015,            0.332091,

0.010101,            0.676768,            0.314943,            0.322113,

0.010101,            0.686869,            0.304858,            0.312123,

0.010101,             0.69697,            0.294763,            0.302122,

0.010101,            0.707071,            0.284658,            0.292112,

0.010101,            0.717172,            0.274545,            0.282093,

0.010101,            0.727273,            0.264424,            0.272066,

0.010101,            0.737374,            0.254296,            0.262032,

0.010101,            0.747475,            0.244161,            0.251992,

0.010101,            0.757576,            0.234021,            0.241946,

0.010101,            0.767677,            0.223875,            0.231895,

0.010101,            0.777778,            0.213724,            0.221839,

0.010101,            0.787879,             0.20357,            0.211778,

0.010101,             0.79798,            0.193411,            0.201714,

0.010101,            0.808081,            0.183249,            0.191646,

0.010101,            0.818182,            0.173084,            0.181576,

0.010101,            0.828283,            0.162916,            0.171502,

0.010101,            0.838384,            0.152745,            0.161426,

0.010101,            0.848485,            0.142572,            0.151347,

0.010101,            0.858586,            0.132397,            0.141266,

0.010101,            0.868687,             0.12222,            0.131184,

0.010101,            0.878788,            0.112042,            0.121099,

0.010101,            0.888889,            0.101861,            0.111014,

0.010101,             0.89899,           0.0916797,            0.100926,

0.010101,            0.909091,           0.0814968,           0.0908377,

0.010101,            0.919192,           0.0713127,            0.080748,

0.010101,            0.929293,           0.0611276,           0.0706572,

0.010101,            0.939394,           0.0509415,           0.0605655,

0.010101,            0.949495,           0.0407546,           0.0504729,

0.010101,            0.959596,           0.0305669,           0.0403796,

0.010101,            0.969697,           0.0203786,           0.0302856,

0.010101,            0.979798,           0.0101896,           0.0201909,

0.010101,            0.989899,                   0,           0.0100957,

0.010101,                   1,          0.00998673,         5.88857e-18,

