step_size,                  x,              v_num,            u_exact,               time,

0.111111,                   0,                   0,                   0,            0.000358,

0.111111,            0.111111,            0.515538,            0.559701,            0.000358,

0.111111,            0.222222,            0.624665,             0.66942,            0.000358,

0.111111,            0.333333,            0.600005,            0.631008,            0.000358,

0.111111,            0.444444,            0.531302,            0.543832,            0.000358,

0.111111,            0.555556,            0.448101,            0.440604,            0.000358,

0.111111,            0.666667,            0.360127,            0.332091,            0.000358,

0.111111,            0.777778,            0.270583,            0.221839,            0.000358,

0.111111,            0.888889,            0.180521,            0.111014,            0.000358,

0.111111,                   1,           0.0902883,         5.88857e-18,            0.000358,

