step_size,                  x,              v_num,            u_exact,               time,

0.111111,                   0,                   0,                   2,            0.000551,

0.111111,            0.111111,         0.000228624,                   2,            0.000551,

0.111111,            0.222222,         -0.00792562,                   2,            0.000551,

0.111111,            0.333333,          -0.0208048,                   2,            0.000551,

0.111111,            0.444444,          -0.0350556,                   2,            0.000551,

0.111111,            0.555556,          -0.0476299,                   2,            0.000551,

0.111111,            0.666667,          -0.0557842,                   2,            0.000551,

0.111111,            0.777778,          -0.0570797,                   2,            0.000551,

0.111111,            0.888889,          -0.0493827,                   2,            0.000551,

0.111111,                   1,          -0.0308642,                   2,            0.000551,

